20:27:47.705 [main] REPORT com.atharva.Atharva - OngoingTrade	Scrip	CurrentPrice	CummulativePriceDiff	ActiveTradePriceDiff	ActiveTradeProfit	TrendReversalTrailer	StopLossTrailer	TradeActive	TotalPriceDiff	TotalProfitorLoss
20:28:10.196 [main] REPORT com.atharva.Atharva - OngoingTrade	Scrip	CurrentPrice	CummulativePriceDiff	ActiveTradePriceDiff	ActiveTradeProfit	TrendReversalTrailer	StopLossTrailer	TradeActive	TotalPriceDiff	TotalProfitorLoss
20:28:10.441 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.45	0.40000000000009095	0.40000000000009095	66.4000000000151	0.0	0.0	ACTIVE	0.40000000000009095	66.4000000000151
20:28:10.442 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1046.0	0.5499999999999545	0.9500000000000455	157.70000000000755	0.0	0.0	ACTIVE	0.9500000000000455	157.70000000000755
20:28:10.443 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.7	-0.2999999999999545	0.650000000000091	107.9000000000151	-0.2999999999999545	-0.2999999999999545	ACTIVE	0.650000000000091	107.9000000000151
20:28:10.443 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.5	-0.20000000000004547	0.4500000000000455	74.70000000000755	-0.5	-0.5	ACTIVE	0.4500000000000455	74.70000000000755
20:28:10.444 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.65	0.15000000000009095	0.6000000000001364	99.60000000002265	-0.34999999999990905	-0.34999999999990905	ACTIVE	0.6000000000001364	99.60000000002265
20:28:10.445 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.85	0.1999999999998181	0.7999999999999545	132.79999999999245	-0.15000000000009095	-0.15000000000009095	ACTIVE	0.7999999999999545	132.79999999999245
20:28:10.446 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1046.0	0.15000000000009095	0.9500000000000455	157.70000000000755	0.0	0.0	ACTIVE	0.9500000000000455	157.70000000000755
20:28:10.447 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.35	-0.650000000000091	0.2999999999999545	49.79999999999245	-0.650000000000091	-0.650000000000091	ACTIVE	0.2999999999999545	49.79999999999245
20:28:10.448 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.95	0.6000000000001364	0.900000000000091	149.4000000000151	-0.049999999999954525	-0.049999999999954525	ACTIVE	0.900000000000091	149.4000000000151
20:28:10.448 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.8	-0.15000000000009095	0.75	124.5	-0.20000000000004547	-0.20000000000004547	ACTIVE	0.75	124.5
20:28:10.449 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.95	0.15000000000009095	0.900000000000091	149.4000000000151	-0.049999999999954525	-0.049999999999954525	ACTIVE	0.900000000000091	149.4000000000151
20:28:10.450 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1045.9	-0.049999999999954525	0.8500000000001364	141.10000000002265	-0.09999999999990905	-0.09999999999990905	ACTIVE	0.8500000000001364	141.10000000002265
20:28:10.451 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1046.0	0.09999999999990905	0.9500000000000455	157.70000000000755	0.0	0.0	ACTIVE	0.9500000000000455	157.70000000000755
20:28:10.451 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1046.05	0.049999999999954525	1.0	166.0	0.0	0.0	ACTIVE	1.0	166.0
20:28:10.452 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1046.35	0.2999999999999545	1.2999999999999545	215.79999999999245	0.0	0.0	ACTIVE	1.2999999999999545	215.79999999999245
20:28:10.452 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1046.4	0.0500000000001819	1.3500000000001364	224.10000000002265	0.0	0.0	ACTIVE	1.3500000000001364	224.10000000002265
20:28:10.453 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	BUY	RELIANCE	1046.15	-0.25	1.1000000000001364	182.60000000002265	-0.25	-0.25	ACTIVE	1.1000000000001364	182.60000000002265
20:28:10.454 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1045.35	-0.8000000000001819	0.0	0	0.0	0.0	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.455 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1045.0	0.34999999999990905	0.34999999999990905	58.0999999999849	0.0	0.0	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.456 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.65	0.34999999999990905	0.6999999999998181	116.1999999999698	0.0	0.0	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.456 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.75	-0.09999999999990905	0.599999999999909	99.5999999999849	-0.09999999999990905	-0.09999999999990905	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.457 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1045.05	-0.2999999999999545	0.2999999999999545	49.79999999999245	-0.3999999999998636	-0.3999999999998636	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.457 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1045.0	0.049999999999954525	0.34999999999990905	58.0999999999849	-0.34999999999990905	-0.34999999999990905	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.457 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1045.6	-0.599999999999909	-0.25	-41.5	-0.9499999999998181	-0.9499999999998181	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.458 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1045.1	0.5	0.25	41.5	-0.4499999999998181	-0.4499999999998181	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.459 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.95	0.14999999999986358	0.3999999999998636	66.39999999997735	-0.2999999999999545	-0.2999999999999545	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.459 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1045.0	-0.049999999999954525	0.34999999999990905	58.0999999999849	-0.34999999999990905	-0.34999999999990905	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.460 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.45	0.5499999999999545	0.8999999999998636	149.39999999997735	0.0	0.0	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.460 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.7	-0.25	0.6499999999998636	107.89999999997735	-0.25	-0.25	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.461 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.65	0.049999999999954525	0.6999999999998181	116.1999999999698	-0.20000000000004547	-0.20000000000004547	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.461 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.55	0.10000000000013642	0.7999999999999545	132.79999999999245	-0.09999999999990905	-0.09999999999990905	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.462 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.45	0.09999999999990905	0.8999999999998636	149.39999999997735	0.0	0.0	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.462 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.4	0.049999999999954525	0.9499999999998181	157.6999999999698	0.0	0.0	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.462 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.4	-0.0	0.9499999999998181	157.6999999999698	0.0	0.0	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.463 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.45	-0.049999999999954525	0.8999999999998636	149.39999999997735	-0.049999999999954525	-0.049999999999954525	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.463 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.2	0.25	1.1499999999998636	190.89999999997735	0.0	0.0	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.464 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1044.4	-0.20000000000004547	0.9499999999998181	157.6999999999698	-0.20000000000004547	-0.20000000000004547	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.464 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1043.8	0.6000000000001364	1.5499999999999545	257.29999999999245	0.0	0.0	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.465 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1043.6	0.20000000000004547	1.75	290.5	0.0	0.0	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.465 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1043.1	0.5	2.25	373.5	0.0	0.0	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.466 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1043.05	0.049999999999954525	2.2999999999999545	381.79999999999245	0.0	0.0	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.466 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1043.2	-0.15000000000009095	2.1499999999998636	356.89999999997735	-0.15000000000009095	-0.15000000000009095	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.467 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1042.95	0.25	2.3999999999998636	398.39999999997735	0.0	0.0	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.468 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1042.3	0.650000000000091	3.0499999999999545	506.29999999999245	0.0	0.0	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.468 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1042.25	0.049999999999954525	3.099999999999909	514.5999999999849	0.0	0.0	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.469 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1042.05	0.20000000000004547	3.2999999999999545	547.7999999999925	0.0	0.0	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.469 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1042.8	-0.75	2.5499999999999545	423.29999999999245	-0.75	-0.75	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.470 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1042.65	0.14999999999986358	2.699999999999818	448.1999999999698	-0.6000000000001364	-0.6000000000001364	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.470 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1042.6	0.0500000000001819	2.75	456.5	-0.5499999999999545	-0.5499999999999545	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.471 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1042.3	0.2999999999999545	3.0499999999999545	506.29999999999245	-0.25	-0.25	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.471 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1042.55	-0.25	2.7999999999999545	464.79999999999245	-0.5	-0.5	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.472 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1042.55	-0.0	2.7999999999999545	464.79999999999245	-0.5	-0.5	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.473 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1041.9	0.6499999999998636	3.449999999999818	572.6999999999698	0.0	0.0	STOPLOSS	0.2999999999999545	49.79999999999245
20:28:10.473 [Thread-3] REPORT com.atharva.trade.TradeHandler - 	SELL	RELIANCE	1041.4	0.5	3.949999999999818	655.6999999999698	0.0	0.0	STOPLOSS	0.2999999999999545	49.79999999999245
